scenario,attachment_size_kb,repeat,fact_to_remember,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed,memory_drift_score
growing,0,3,scope includes role permissions,6,60c44ef9-fb50-4483-acac-b9d9b32ae34e,76,0,13,0,0,1799,220,0.00018753,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes Slack alerts,7,60c44ef9-fb50-4483-acac-b9d9b32ae34e,79,0,13,0,0,2156,220,0.00021252,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes Stripe billing,8,60c44ef9-fb50-4483-acac-b9d9b32ae34e,73,0,13,0,0,2146,220,0.00021182,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes data import,9,60c44ef9-fb50-4483-acac-b9d9b32ae34e,65,0,13,0,0,2139,220,0.00021133,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes admin panel,10,60c44ef9-fb50-4483-acac-b9d9b32ae34e,62,0,13,0,0,2135,220,0.00021105,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes GDPR export,11,60c44ef9-fb50-4483-acac-b9d9b32ae34e,62,0,13,0,0,2137,220,0.00021119,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes SAML SSO,12,60c44ef9-fb50-4483-acac-b9d9b32ae34e,62,0,13,0,0,2131,220,0.00021077,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes API keys,13,60c44ef9-fb50-4483-acac-b9d9b32ae34e,62,0,13,0,0,2124,220,0.00021028,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes webhook delivery,14,60c44ef9-fb50-4483-acac-b9d9b32ae34e,62,0,13,0,0,2115,220,0.00020965,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes background jobs,15,60c44ef9-fb50-4483-acac-b9d9b32ae34e,62,0,13,0,0,2110,220,0.0002093,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes usage analytics,16,60c44ef9-fb50-4483-acac-b9d9b32ae34e,65,0,13,0,0,2109,220,0.00020923,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes onboarding checklist,17,60c44ef9-fb50-4483-acac-b9d9b32ae34e,70,0,13,0,0,2112,220,0.00020944,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes billing reconciliation,18,60c44ef9-fb50-4483-acac-b9d9b32ae34e,73,0,13,0,0,2116,220,0.00020972,0,none,stress_fake,True,True,False,0.0
growing,0,3,scope includes incident notifications,19,60c44ef9-fb50-4483-acac-b9d9b32ae34e,60,0,13,0,0,2119,220,0.00020993,2,none,stress_fake,True,True,False,0.0
